scenario,density,density_veh_km_lane,weather,hazard_type,policy,slot_epochs,seed,rwcr,tir_median_s,tir_p95_s,tx_per_at_risk_informed,actionable_deadline_miss_rate,transmissions
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,8,0.39130148167881496,0.3000000000000007,1.475,1.5,0.7391304347826086,9.0
rural_highway,2.0,2.0,clear,fog_bank,slotted_1p,10,9,0.6067024229162062,0.3000000000000007,2.1799999999999997,2.0,0.5909090909090908,18.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,0,0.8135229389309446,0.7000000000000002,1.4200000000000002,1.7857142857142858,0.36363636363636365,25.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,1,0.49596406217531,0.6500000000000004,1.1750000000000003,2.142857142857143,0.6666666666666667,15.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,2,0.37002612601832163,0.8500000000000001,1.1000000000000005,2.0,0.75,12.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,3,0.6705788799244192,0.5,0.9000000000000004,1.9166666666666667,0.5384615384615384,23.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,4,0.8389711353887087,0.6500000000000004,1.3250000000000006,1.625,0.30434782608695654,26.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,5,0.8128654581373073,0.7000000000000002,1.3300000000000005,1.2666666666666666,0.34782608695652173,19.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,6,0.5220714522845914,0.35000000000000053,0.6000000000000005,1.375,0.6799999999999999,11.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,7,0.7514353769953893,0.5,0.9800000000000002,1.75,0.5,21.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,8,0.39130148167881496,0.3000000000000007,0.5750000000000004,1.3333333333333333,0.7391304347826086,8.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,1,9,0.6067024229162062,0.3000000000000007,0.7200000000000005,2.3333333333333335,0.5909090909090908,21.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,0,0.8135229389309446,0.9000000000000004,2.6000000000000005,1.6428571428571428,0.36363636363636365,23.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,1,0.5253245797006195,0.9500000000000002,1.7750000000000006,2.0,0.6190476190476191,16.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,2,0.5405367478596573,1.4000000000000004,2.08,1.4444444444444444,0.625,13.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,3,0.5055766238687224,0.6500000000000004,0.9000000000000004,1.5,0.6923076923076923,12.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,4,0.8389711353887087,1.9000000000000004,2.3250000000000006,1.5,0.30434782608695654,24.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,5,0.8858956817838112,1.0,1.4300000000000002,1.4705882352941178,0.26086956521739135,25.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,6,0.5220714522845914,0.35000000000000053,0.6000000000000005,1.375,0.6799999999999999,11.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,7,0.7514353769953893,0.9500000000000002,1.8699999999999999,2.0833333333333335,0.5,25.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,8,0.39130148167881496,0.3000000000000007,0.6750000000000003,1.3333333333333333,0.7391304347826086,8.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,2,9,0.8749489985065126,0.5,1.2350000000000003,1.6428571428571428,0.36363636363636365,23.0
rural_highway,2.0,2.0,clear,fog_bank,dvcast,5,0,0.8621046509758902,1.5,5.28,1.6666666666666667,0.36363636363636365,25.0
