scenario,density,density_veh_km_lane,weather,hazard_type,seed,topology_split,hazard_split,weather_split,risk_est_precision,risk_est_recall,risk_est_f1,risk_peak_corr,n_at_risk_oracle,n_at_risk_causal,oracle_horizon_s,backend
rural_highway,1.0,1.0,dense_fog,fog_bank,9,train,train,held_out,0.8461538461538461,1.0,0.9166666666666666,0.743173897613083,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,0,train,train,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8981388093436866,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,1,train,train,held_out,0.8461538461538461,1.0,0.9166666666666666,0.811553104318262,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,2,train,train,held_out,0.8461538461538461,1.0,0.9166666666666666,0.7839062101499438,11,13,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,3,train,train,held_out,0.9166666666666666,1.0,0.9565217391304348,0.8997018660539678,11,12,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,4,train,train,held_out,0.8333333333333334,1.0,0.9090909090909091,0.8050269055568364,10,12,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,5,train,train,held_out,0.8,1.0,0.888888888888889,0.8030758456764929,8,10,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,6,train,train,held_out,0.8,1.0,0.888888888888889,0.7735262772120216,8,10,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,7,train,train,held_out,0.8571428571428571,1.0,0.923076923076923,0.7983302047071132,12,14,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,8,train,train,held_out,0.9230769230769231,1.0,0.9600000000000001,0.9106132034636315,12,13,226.35532333438687,fallback
rural_highway,1.0,1.0,dense_fog,landslide,9,train,train,held_out,0.8461538461538461,1.0,0.9166666666666666,0.7563259576844388,11,13,226.35532333438687,fallback
